"","Feature_chr","Feature_start","Feature_end","Feature_gene_biotype","Feature_gene_name","PBS_2","PBS_3","PBS_4","PBS_5","FPAS_2","FPAS_3","FPAS_4","FPAS_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","baseMean_PBS","baseMean_FPAS","DE_status"
"ENSMUSG00000049173.8","chr18",60573750,60591788,"protein_coding","Myoz3",2889,3737,2703,2696,813,1852,1034,844,1870.71656579935,-1.0532757901185,0.188122129018298,-5.59889363157299,2.15724102867609e-08,0.000149971396313562,0.481872778750195,2525.28766801794,1216.14546358077,"DOWN"
"ENSMUSG00000022698.17","chr16",44139830,44163366,"protein_coding","Naa50",3164,2538,3106,2119,783,1317,661,917,1668.44977393971,-1.19977665295942,0.22124923237391,-5.42273814958056,5.86929402120925e-08,0.000204016660177233,0.435342672863017,2324.77556258779,1012.12398529164,"DOWN"
"ENSMUSG00000022805.17","chr16",38297754,38342143,"protein_coding","Maats1",94,144,146,163,0,0,0,0,58.6154147450436,-9.15523665612664,1.72046148977663,-5.32138423936201,1.02980632151256e-07,NA,0.00175387706553431,117.230829490087,0,"NS"
"ENSMUSG00000025154.15","chr19",41766588,41802047,"protein_coding","Arhgap19",814,941,466,598,129,262,97,67,365.129806490321,-2.02230735690059,0.390048131185403,-5.18476361046663,2.1628902222326e-07,NA,0.246164161445563,586.321803981863,143.93780899878,"NS"
"ENSMUSG00000062908.12","chr3",153922357,153944632,"protein_coding","Acadm",3628,3626,3335,3245,1155,2222,1437,958,2242.47311430924,-0.921320750511301,0.178113900001602,-5.17264935809622,2.30797879262117e-07,0.000534835618876747,0.528025405155665,2935.73481764236,1549.21141097613,"DOWN"
"ENSMUSG00000062929.8","chr12",54858809,54862877,"protein_coding","Cfl2",3076,2457,2989,2218,1188,1071,1090,722,1711.85244648179,-1.01271316671844,0.212586596124613,-4.76376773126756,1.90011211051072e-06,0.00330239484806764,0.495613308525649,2289.08988556188,1134.61500740171,"DOWN"
"ENSMUSG00000028392.15","chr4",62480053,62497298,"protein_coding","Bspry",335,241,438,310,811,769,794,525,547.166306064675,1.49724187873707,0.31933082199541,4.68868576287505,2.7496524226466e-06,0.00382311672844783,2.82302494863111,286.376633456407,807.955978672944,"UP"
"ENSMUSG00000002944.15","chr5",17781690,17888801,"protein_coding","Cd36",3650,3549,3080,2774,785,2287,711,341,1895.35501608583,-1.41301138044179,0.306058932767004,-4.61679509781694,3.89711712814783e-06,0.00402695185596844,0.375527019445823,2756.61481380033,1034.09521837133,"DOWN"
"ENSMUSG00000040652.16","chr9",65668001,65690300,"protein_coding","Oaz2",2410,1896,2161,1786,790,1209,763,415,1303.54363586609,-1.05119482797662,0.231537218671582,-4.54006847800856,5.62359610504439e-06,0.00402695185596844,0.482568339853212,1758.98844657453,848.098825157648,"DOWN"
"ENSMUSG00000028919.11","chr4",141239499,141257564,"protein_coding","Arhgef19",364,563,240,194,490,881,696,762,534.103897553137,1.51304051977957,0.333788013350941,4.53293844973627,5.81687690240544e-06,0.00402695185596844,2.85410917130819,276.919652023811,791.288143082463,"UP"
